ASVid;Order;Clade;Sub_Clade;Sub_Clade2;Taxonomy
ASV_160;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU7_1-KF877801
ASV_161;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_162;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_163;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_164;Nitrososphaerales;NS-Gamma;NS-Gamma-2.2.1.2;Nitrososphaerales (NS-Gamma-2.2.1.2);NS-Gamma-2.2.1.2-JX570746
ASV_165;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_166;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_167;Nitrososphaerales;NS-Zeta;NS-Zeta-1.2;Nitrososphaerales (NS-Zeta-1.2);NS-Zeta-1.2_OTU8_1-EU925258
ASV_168;Nitrososphaerales;NS-Epsilon;NS-Epsilon-2.2;Nitrososphaerales (NS-Epsilon-2.2);NS-Epsilon-2.2_OTU8_1-JX570739
ASV_169;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_170;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_171;Nitrososphaerales;NS-Gamma;NS-Gamma-2.1.2.2;Nitrososphaerales (NS-Gamma-2.1.2.2);NS-Gamma-2.1.2.2-HQ007740
ASV_172;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_173;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_174;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_175;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_176;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_177;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_178;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_179;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_180;Nitrososphaerales;NS-Alpha;NS-Alpha-2;Nitrososphaerales (NS-Alpha-2);NS-Alpha-2_OTU1_1-JF520968
ASV_181;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_182;Nitrososphaerales;NS-Alpha;NS-Alpha-1;Nitrososphaerales (NS-Alpha-1);NS-Alpha-1_OTU6_1-JF520980
ASV_183;Nitrososphaerales;NS-Alpha;NS-Alpha-1;Nitrososphaerales (NS-Alpha-1);NS-Alpha-1_OTU6_1-JF520980
ASV_184;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_185;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_186;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_187;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_188;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha;Ca.Nitrosotaleales (NT-Alpha);NT-Alpha_OTU7_1-JN418180
ASV_189;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_190;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_191;Nitrososphaerales;NS-Zeta;NS-Zeta-1.2;Nitrososphaerales (NS-Zeta-1.2);NS-Zeta-1.2_OTU8_1-EU925258
ASV_192;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_193;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_194;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_195;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_196;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_197;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_198;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_199;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_200;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_201;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_202;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_203;Nitrososphaerales;NS-Gamma;NS-Gamma-2.2.1.2;Nitrososphaerales (NS-Gamma-2.2.1.2);NS-Gamma-2.2.1.2-JX570746
ASV_204;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_205;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_206;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_207;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha;Ca.Nitrosotaleales (NT-Alpha);NT-Alpha_OTU7_1-JN418180
ASV_208;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_209;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_210;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_211;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_212;Nitrososphaerales;NS-Alpha;NS-Alpha-1;Nitrososphaerales (NS-Alpha-1);NS-Alpha-1_OTU6_1-JF520980
ASV_213;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.1.3;Nitrososphaerales (NS-Alpha-3.1.1.3);NS-Alpha-3.1.1.3-JN688223
ASV_214;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_215;Nitrososphaerales;NS-Beta;NS-Beta-1;Nitrososphaerales (NS-Beta-1);NS-Beta-1_OTU10_1-EU671395
ASV_216;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU6_1-EU590133
ASV_217;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_218;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_219;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_220;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_221;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_222;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_223;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_224;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_225;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_226;Nitrososphaerales;NS-Gamma;NS-Gamma-2.2.1.2;Nitrososphaerales (NS-Gamma-2.2.1.2);NS-Gamma-2.2.1.2-JX570746
ASV_227;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_228;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_229;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
ASV_230;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha;Ca.Nitrosotaleales (NT-Alpha);NT-Alpha_OTU7_1-JN418180
ASV_231;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_232;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_233;Nitrososphaerales;NS-Alpha;NS-Alpha-1;Nitrososphaerales (NS-Alpha-1);NS-Alpha-1_OTU6_1-JF520980
ASV_234;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_235;Nitrososphaerales;NS-Zeta;NS-Zeta;Nitrososphaerales (NS-Zeta);NS-Zeta_OTU2_1-JX426485
ASV_236;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_237;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_238;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_239;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_240;Nitrososphaerales;NS-Zeta;NS-Zeta-2;Nitrososphaerales (NS-Zeta-2);NS-Zeta-2_OTU5_1-KF179444
ASV_241;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_242;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_243;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_244;Ca.Nitrosotaleales;NT-Beta;NT-Beta;Ca.Nitrosotaleales (NT-Beta);NT-Beta_OTU5_1-KJ864008
ASV_245;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_246;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_247;Nitrososphaerales;NS-Incertae_sedis;NS-IS;Nitrososphaerales (NS-IS);NS-Incertae_sedis-1_OTU2_1-GU225881
ASV_248;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_249;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_250;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_251;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_252;Nitrososphaerales;NS-Gamma;NS-Gamma-2.3.2.1;Nitrososphaerales (NS-Gamma-2.3.2.1);NS-Gamma-2.3.2.1-JF430539
ASV_253;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_254;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_255;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.1.1;Ca.Nitrosotaleales (NT-Alpha-1.1.1.1);NT-Alpha-1.1.1.1-GQ142536
ASV_256;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_257;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_258;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_259;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_260;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_261;Nitrososphaerales;NS-Zeta;NS-Zeta-2;Nitrososphaerales (NS-Zeta-2);NS-Zeta-2_OTU5_1-KF179444
ASV_262;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_263;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_264;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_265;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_266;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_267;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_268;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_269;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_270;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_271;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_272;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.2.2;Ca.Nitrosotaleales (NT-Alpha-1.1.2.2);NT-Alpha-1.1.2.2-JN179533
ASV_273;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_274;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_275;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_276;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_277;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU3_1-EU590277
ASV_278;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_279;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU3_1-EU590277
ASV_280;Nitrososphaerales;NS-Zeta;NS-Zeta-1.2;Nitrososphaerales (NS-Zeta-1.2);NS-Zeta-1.2_OTU8_1-EU925258
ASV_281;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_282;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_283;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_284;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_285;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU3_1-EU590277
ASV_286;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_287;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_288;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_289;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_290;Nitrososphaerales;NS-Beta;NS-Beta-2.1;Nitrososphaerales (NS-Beta-2.1);NS-Beta-2.1_OTU1_1-FJ601605
ASV_291;Nitrososphaerales;NS-Alpha;NS-Alpha-2;Nitrososphaerales (NS-Alpha-2);NS-Alpha-2_OTU1_1-JF520968
ASV_292;Nitrososphaerales;NS-Gamma;NS-Gamma-2.2.1.2;Nitrososphaerales (NS-Gamma-2.2.1.2);NS-Gamma-2.2.1.2-JX570746
ASV_293;Nitrososphaerales;NS-Gamma;NS-Gamma-1.2;Nitrososphaerales (NS-Gamma-1.2);NS-Gamma-1.2_OTU1_1-EU671146
ASV_294;Nitrosopumilales;NP-Gamma;NP-Gamma-2.2.5;Nitrosopumilales (NP-Gamma-2.2.5);NP-Gamma-2.2.5_OTU2_1-HQ168103
ASV_295;Nitrososphaerales;NS-Zeta;NS-Zeta-1.2;Nitrososphaerales (NS-Zeta-1.2);NS-Zeta-1.2_OTU8_1-EU925258
ASV_296;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha-1.1.1.1;Ca.Nitrosotaleales (NT-Alpha-1.1.1.1);NT-Alpha-1.1.1.1-HE598576
ASV_297;Nitrososphaerales;NS-Zeta;NS-Zeta-2;Nitrososphaerales (NS-Zeta-2);NS-Zeta-2_OTU5_1-KF179444
ASV_298;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_299;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_300;Nitrososphaerales;NS-Alpha;NS-Alpha-3.1.2;Nitrososphaerales (NS-Alpha-3.1.2);NS-Alpha-3.1.2_OTU2_1-KC137506
ASV_301;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_302;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.3.1;Nitrososphaerales (NS-Alpha-3.2.3.1);NS-Alpha-3.2.3.1-KF754141
ASV_303;Nitrososphaerales;NS-Beta;NS-Beta-1;Nitrososphaerales (NS-Beta-1);NS-Beta-1_OTU10_1-EU671395
ASV_304;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_305;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU4_1-HQ007666
ASV_306;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_307;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_308;Nitrososphaerales;NS-Delta;NS-Delta-1.1.2.1;Nitrososphaerales (NS-Delta-1.1.2.1);NS-Delta-1.1.2.1-KJ729441
ASV_309;Nitrososphaerales;NS-Gamma;NS-Gamma-2.2.1.2;Nitrososphaerales (NS-Gamma-2.2.1.2);NS-Gamma-2.2.1.2-JX570746
ASV_310;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_311;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_312;Nitrososphaerales;NS-Delta;NS-Delta-1.2.1;Nitrososphaerales (NS-Delta-1.2.1);NS-Delta-1.2.1_OTU3_1-EU590277
ASV_313;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU7_1-KF877801
ASV_314;Nitrososphaerales;NS-Beta;NS-Beta-1.3;Nitrososphaerales (NS-Beta-1.3);NS-Beta-1.3_OTU1_1-EU885554
ASV_315;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_316;Ca.Nitrosotaleales;NT-Alpha;NT-Alpha;Ca.Nitrosotaleales (NT-Alpha);NT-Alpha_OTU7_1-JN418180
ASV_317;Nitrososphaerales;NS-Alpha;NS-Alpha-3.2.2;Nitrososphaerales (NS-Alpha-3.2.2);NS-Alpha-3.2.2_OTU4_1-FJ601579
ASV_318;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
ASV_319;Nitrososphaerales;NS-Zeta;NS-Zeta-1.2;Nitrososphaerales (NS-Zeta-1.2);NS-Zeta-1.2_OTU8_1-EU925258
ASV_320;Nitrososphaerales;NS-Gamma;NS-Gamma-2.1;Nitrososphaerales (NS-Gamma-2.1);NS-Gamma-2.1_OTU1_1-JX010789
ASV_321;Nitrososphaerales;NS-Incertae_sedis;NS-IS;Nitrososphaerales (NS-IS);NS-Incertae_sedis-1_OTU2_1-GU225881
ASV_322;Nitrososphaerales;NS-Delta;NS-Delta-1.IS;Nitrososphaerales (NS-Delta-1.IS);NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
